,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Yr,4.5322,3.4379,3.2481,3.248,3.3124,3.1862,3.3094,3.393,3.5304,3.6053,3.5725,3.3155,2.58,2.3374,1.843
2Yr,2.9032,3.3439,3.2482,3.2796,3.2502,3.2469,3.3505,3.4604,3.5717,3.5237,3.5774,3.3156,2.5836,2.3343,1.8429
3Yr,3.6905,3.3129,3.2688,3.2486,3.2694,3.294,3.4085,3.5073,3.5293,3.5394,3.5758,3.3186,2.5824,2.3311,1.843
4Yr,3.5851,3.3128,3.2493,3.2639,3.2988,3.3503,3.4555,3.4911,3.5396,3.5486,3.5139,3.3179,2.5818,2.3311,1.8442
5Yr,3.5338,3.289,3.2607,3.2881,3.3423,3.3983,3.4524,3.5063,3.5476,3.5539,3.4749,3.3175,2.5811,2.3323,1.844
6Yr,3.4801,3.2921,3.2813,3.3256,3.3828,3.4046,3.4709,3.518,3.5514,3.5174,3.4517,3.2024,2.5429,2.2549,1.8438
7Yr,3.4579,3.3052,3.3137,3.3631,3.3902,3.4263,3.4853,3.525,3.5208,3.49,3.434,3.1215,2.5146,2.1989,1.8437
8Yr,3.4506,3.3304,3.3473,3.3717,3.4105,3.4436,3.495,3.5018,3.4979,3.4715,3.4208,3.0599,2.4934,2.1573,1.8442
9Yr,3.4584,3.3574,3.3564,3.3913,3.4272,3.4562,3.4776,3.4827,3.4809,3.4563,3.3374,3.0119,2.4769,2.1252,1.8435
10Yr,3.4711,3.3645,3.3751,3.4077,3.4397,3.4441,3.4628,3.469,3.4666,3.4441,3.2718,2.9736,2.4639,2.0991,1.8435
15Yr,3.4787,3.3957,3.3897,3.3977,3.4047,3.3681,3.3417,3.3031,3.257,4.1959,3.0431,2.7849,2.2768,2.0205,1.7238
20Yr,3.4196,3.3253,3.2907,3.2669,3.2413,3.202,3.1697,3.1274,3.0795,3.019,2.8556,2.5849,2.1824,1.8944,1.6645
25Yr,3.2899,3.2013,3.1635,3.1348,3.1042,3.0554,3.0118,2.9599,2.9024,2.8337,2.6933,2.4632,2.0588,1.8189,1.6289
30Yr,3.1674,3.0766,3.0307,2.9922,2.9515,2.9069,2.8674,2.9206,2.7688,2.7075,2.5632,2.3287,1.9759,1.7684,1.6051
