,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Yr,32.05,35.15,37.94,36.43,37.26,35.8,36.48,33.82,33.23,33.9,33.22,32.26,31.57,29.99,30.13
2Yr,41.25,40.21,40.28,38.68,37.17,35.29,35.93,33.23,27.89,32.15,31.25,30.06,28.35,28.47,28.71
3Yr,39.89,40.02,36.49,37.19,34.73,33.48,31.93,30.7,30.24,31.25,30.36,29.21,26.54,26.02,26.2
4Yr,39.64,37.24,35.46,35.17,35.14,30.91,30.24,28.9,28,28.06,26.84,25.09,25.06,25.39,25.42
5Yr,35.84,34,33.09,31.21,29.78,28.53,28.54,27.26,26.59,25.99,25.37,24.4,23.79,24.2,24.37
6Yr,30.48,30.03,29.87,28.46,27.17,25.9,25.42,24.84,24.01,23.88,23.65,23.34,23.28,24,24.86
7Yr,30.13,40.63,39.88,34.14,28.71,25.23,26.78,24.08,23.79,23.6,23.22,22.76,22.25,22.55,23.46
8Yr,26.02,25.36,24.92,24.16,23.47,22.99,22.55,22.38,22.24,22.12,21.99,21.98,22.3,22.79,23.71
9Yr,23.72,23.56,23.5,22.72,21.97,21.5,21.57,21.52,21.49,21.49,21.44,21.4,21.95,22.3,23.44
10Yr,25.06,23.8,22.94,23.12,22.55,21.59,21.81,21.3,21.17,20.88,20.92,20.87,21.15,20.78,22.02
15Yr,22,21.33,20.77,20.63,20.31,20.35,20.34,20.05,20.51,21.54,21.05,20.19,21.11,21.66,21.25
20Yr,22.85,21.68,21.65,21.62,21.53,21.56,21.57,22.5,22.49,24.9,23.93,22.29,21.49,24.97,22.63
25Yr,25.31,24.2,22.75,22.55,25.72,22.46,23.22,24.07,24.45,24.32,24.85,25.54,28.19,27.77,26.86
30Yr,25.7,24.66,24.95,25.64,26.55,26.33,26.4,27.05,27.84,28.58,30.34,32.67,32.13,29.29,17.02
